verdict,reason,hub,title,firm,fit,relevance,url,id
keep,keep,singapore,"Analyst/Senior Analyst, Research",~maybank research pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/banking-finance/analystsenior-analyst-research-maybank-research-ee6d6cdd18399800ea591327f15cd1c7,mycareersfuture:singapore:ee6d6cdd18399800ea591327f15cd1c7
keep,keep,singapore,"Analyst, Singapore",clsa.com,,,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Singapore/Analyst--Singapore_JR003252,workday:citicclsa|wd3|External:/job/Singapore/Analyst--Singapore_JR003252
keep,keep,singapore,AI Engineer – Capital Markets,~percept solutions pte. ltd.,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/information-technology/ai-engineer-%E2%80%93-capital-markets-percept-solutions-427079e0cbd4064346418b3f8f7cb83c,mycareersfuture:singapore:427079e0cbd4064346418b3f8f7cb83c
keep,keep,singapore,AI Engineer (Banking Sector),~ntt singapore pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/ai-engineer-ntt-singapore-f8363c3345c1346a6f766be49f7b569e,mycareersfuture:singapore:f8363c3345c1346a6f766be49f7b569e
keep,keep,singapore,Systems Analyst – Equities Trading Systems,~d l resources pte ltd,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/systems-analyst-%E2%80%93-equities-trading-systems-d-l-resources-655ef2c0b4c3c9610ffb5d29f9dc4b7b,mycareersfuture:singapore:655ef2c0b4c3c9610ffb5d29f9dc4b7b
keep,keep,singapore,Senior Trading Application Support Engineer (Rates & FX),"~wells fargo bank, national association",stretch,adjacent,https://www.mycareersfuture.gov.sg/job/information-technology/senior-trading-application-support-engineer-wells-fargo-bank-national-association-5dc1c63549272778e22325fac17ba7fa,mycareersfuture:singapore:5dc1c63549272778e22325fac17ba7fa
keep,keep,hong kong singapore deprioritized,Senior Software Engineer,jumptrading.com,stretch,adjacent,https://www.jumptrading.com/hr/job?gh_jid=7809758,greenhouse:jumptrading:7809758
keep,keep,singapore,Senior Software Engineer,~m-daq global pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/engineering/senior-software-engineer-m-daq-global-a85e7ad988926a4528770a29749cfda6,mycareersfuture:singapore:a85e7ad988926a4528770a29749cfda6
keep,keep,singapore,Senior Java Full Stack Engineer,~advance software engineering pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/senior-java-full-stack-engineer-advance-software-engineering-6d22b104b2dacafe37db5c75bf4c1cc1,mycareersfuture:singapore:6d22b104b2dacafe37db5c75bf4c1cc1
keep,keep,singapore,Senior Analyst / Associate,~qatar investment authority advisory (asia pacific) pte. limited,,,https://www.mycareersfuture.gov.sg/job/banking-finance/senior-analyst-associate-qatar-investment-authority-advisory-f78e67b6de35af4c423321820f4ec11a,mycareersfuture:singapore:f78e67b6de35af4c423321820f4ec11a
keep,keep,singapore,Murex Market Risk,~aurionpro market systems pte. ltd.,plausible,less_relevant,https://www.mycareersfuture.gov.sg/job/information-technology/murex-market-risk-aurionpro-market-systems-b8d035b83e2dffa18e1d4906c7030b88,mycareersfuture:singapore:b8d035b83e2dffa18e1d4906c7030b88
keep,keep,singapore,Market Risk Executive (Oil & Energy Trading) | AWS+VB | Perm,~greenlane private ltd.,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/risk-management/market-risk-executive-awsvb-perm-greenlane-42030159dff91bbf733625d3c5ab9bd5,mycareersfuture:singapore:42030159dff91bbf733625d3c5ab9bd5
keep,keep,singapore,Equity Research (Senior Analyst and Above),~fenghe fund management pte. ltd.,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/equity-research-fenghe-fund-management-978ac74ea2d8c1542d015ef900f8a7ee,mycareersfuture:singapore:978ac74ea2d8c1542d015ef900f8a7ee
keep,keep,singapore,Energy Derivatives Trader,~satellite international (singapore) pte. ltd.,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/others/energy-derivatives-trader-satellite-international-56050f6e2fea1b2753a8608206f8b5dd,mycareersfuture:singapore:56050f6e2fea1b2753a8608206f8b5dd
keep,keep,singapore,Chemical Trader,~satellite international (singapore) pte. ltd.,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/others/chemical-trader-satellite-international-49b56dbcd74d1a65456c72718af5bc2a,mycareersfuture:singapore:49b56dbcd74d1a65456c72718af5bc2a
keep,keep,singapore,AI Engineer,~norges bank singapore branch,,,https://www.mycareersfuture.gov.sg/job/banking-finance/ai-engineer-norges-bank-singapore-branch-833a32f650a9929a4d1efe60e039df0c,mycareersfuture:singapore:833a32f650a9929a4d1efe60e039df0c
keep,keep,singapore,Trader,~unique point management pte. ltd.,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/trader-unique-point-management-fc617f89082832aa49a694eb99736060,mycareersfuture:singapore:fc617f89082832aa49a694eb99736060
keep,keep,singapore,Systematic Commodities Trader,drw.com,plausible,less_relevant,https://drw.com/work-at-drw/listings/systematic-commodities-trader-3411510,site:drw:3411510
keep,keep,singapore,Software Analyst,~solidus it consulting pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/software-analyst-solidus-consulting-cc0e216d00d5d881b8328d6846a9779b,mycareersfuture:singapore:cc0e216d00d5d881b8328d6846a9779b
keep,keep,singapore deprioritized,"Senior Software Engineer, Trading Team",drw.com,stretch,adjacent,https://drw.com/work-at-drw/listings/senior-software-engineer-trading-team-3366589,site:drw:3366589
keep,keep,singapore,Senior Murex Market Risk Consultant,~luxoft information technology (singapore) pte. ltd.,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/information-technology/senior-murex-market-risk-consultant-luxoft-information-technology-67557d8c7ae1af509f6164ce67a29269,mycareersfuture:singapore:67557d8c7ae1af509f6164ce67a29269
keep,keep,singapore,Senior Java Developer,~aurionpro market systems pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/senior-java-developer-aurionpro-market-systems-07b96238dd278a9ccbf1e05472362d58,mycareersfuture:singapore:07b96238dd278a9ccbf1e05472362d58
keep,keep,singapore,Research Analyst in Sustainable Finance (SGFIN),~national university of singapore,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/sciences/research-analyst-sustainable-finance-national-university-singapore-00d7f7634a0649266981533ff2486d99,mycareersfuture:singapore:00d7f7634a0649266981533ff2486d99
keep,keep,singapore,Research Analyst - Quantitative Strategies,"~exoduspoint capital management singapore, pte. ltd.",strong,relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/research-analyst-quantitative-strategies-exoduspoint-capital-management-singapore-35b277f7c49835c2e63a69ef2f32477f,mycareersfuture:singapore:35b277f7c49835c2e63a69ef2f32477f
keep,keep,singapore,Research Analyst (AI Data Engineer),~national university of singapore,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/sciences/research-analyst-national-university-singapore-7cfab564c7650a485ec1aec5252adfc6,mycareersfuture:singapore:7cfab564c7650a485ec1aec5252adfc6
keep,keep,singapore,Quantitative Trading Analyst Intern,drw.com,plausible,less_relevant,https://drw.com/work-at-drw/listings/quantitative-trading-analyst-intern-3474906,site:drw:3474906
keep,keep,singapore,Quantitative Trading Analyst,drw.com,plausible,less_relevant,https://drw.com/work-at-drw/listings/quantitative-trading-analyst-3474920,site:drw:3474920
keep,keep,singapore,"Quantitative Researcher, Equities",drw.com,strong,relevant,https://drw.com/work-at-drw/listings/quantitative-researcher-equities-3309128,site:drw:3309128
keep,keep,singapore,Quantitative Researcher Equities,drw.com,strong,relevant,https://drw.com/work-at-drw/listings/quantitative-researcher-equities-3238583,site:drw:3238583
keep,keep,singapore,Quantitative Researcher - Machine Learning,drw.com,strong,relevant,https://drw.com/work-at-drw/listings/quantitative-researcher-machine-learning-3256559,site:drw:3256559
keep,keep,singapore,Quantitative Researcher,drw.com,strong,relevant,https://drw.com/work-at-drw/listings/quantitative-researcher-3474915,site:drw:3474915
keep,keep,singapore,Quantitative Research Intern,drw.com,strong,relevant,https://drw.com/work-at-drw/listings/quantitative-research-intern-3474904,site:drw:3474904
keep,keep,singapore,Quantitative Developer – Equity Options,drw.com,plausible,less_relevant,https://drw.com/work-at-drw/listings/quantitative-developer-equity-options-2562226,site:drw:2562226
keep,keep,hong kong singapore,Quantitative Developer | Trading Team,jumptrading.com,stretch,adjacent,https://www.jumptrading.com/hr/job?gh_jid=8105914,greenhouse:jumptrading:8105914
keep,keep,singapore,Quantitative Developer Intern (Python),drw.com,plausible,less_relevant,https://drw.com/work-at-drw/listings/quantitative-developer-intern-python-3463992,site:drw:3463992
keep,keep,singapore,Options Trading Systems Engineer,drw.com,plausible,adjacent,https://drw.com/work-at-drw/listings/options-trading-systems-engineer-3224409,site:drw:3224409
keep,keep,singapore,Market Strategist (AIA Investment Management),~aia investment management private limited,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/market-strategist-aia-investment-management-d66351367636a4902950be9369fc12fd,mycareersfuture:singapore:d66351367636a4902950be9369fc12fd
keep,keep,singapore,Market Risk Specialist (Product Control),~aramco trading singapore pte. ltd.,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/others/market-risk-specialist-aramco-trading-singapore-467b0d5259cdc9c6cde0f19c695876d5,mycareersfuture:singapore:467b0d5259cdc9c6cde0f19c695876d5
keep,keep,hong kong,Machine Learning Research Engineer,janestreet.com,plausible,adjacent,https://www.janestreet.com/join-jane-street/apply/6802323002?gh_jid=6802323002,greenhouse:janestreet:6802323002
keep,keep,singapore,HFT Quant Trader #10279,~anradus pte. ltd.,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/risk-management/hft-quant-trader-10279-anradus-9fd546e5ec3ce277dc3102d748a14a54,mycareersfuture:singapore:9fd546e5ec3ce277dc3102d748a14a54
keep,keep,singapore,Fundamental Analyst – Convertible Arbitrage Strategy (Singapore),deshaw.com,,,https://www.deshaw.com/careers/fundamental-analyst-convertible-arbitrage-strategy-singapore-5786,site:deshaw:5786
keep,keep,stockholm,EQUITY RESEARCH ANALYST - BANKS AND ASSET MANAGEMENT SECTOR - STOCKHOLM,keplercheuvreux.com,stretch,adjacent,https://keplercheuvreux.teamtailor.com/jobs/8260352-equity-research-analyst-banks-and-asset-management-sector-stockholm,teamtailor:keplercheuvreux:9f57d014-71a0-433d-b395-f3c808a04141
keep,keep,singapore,Credit Analyst,~petron singapore trading pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/accounting/credit-analyst-petron-singapore-trading-5c39bc95ec42854d8ae745926f9b9397,mycareersfuture:singapore:5c39bc95ec42854d8ae745926f9b9397
keep,keep,hong kong deprioritized,Campus Quantitative Research Intern (Off-Cycle - Winter/Spring 2027),jumptrading.com,out_of_scope,relevant,https://www.jumptrading.com/hr/job?gh_jid=8027898,greenhouse:jumptrading:8027898
keep,keep,singapore,"Analyst/Associate, Credit Research Analyst, Group Research, Global Financial Markets",dbs.com,plausible,adjacent,https://dbs.wd3.myworkdayjobs.com/en-US/DBS_Careers/job/Singapore---Central/Analyst-Associate--Credit-Research-Analyst--Group-Research--Global-Financial-Markets_WD87839,workday:dbs|wd3|DBS_Careers:/job/Singapore---Central/Analyst-Associate--Credit-Research-Analyst--Group-Research--Global-Financial-Markets_WD87839
keep,keep,singapore,Analyst Fixed Income,~ice data services singapore pte. ltd.,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/analyst-fixed-income-ice-data-services-singapore-15d0a134764729a08d7a004a49e13066,mycareersfuture:singapore:15d0a134764729a08d7a004a49e13066
keep,keep,stockholm,(Senior) Quantitative Risk Analyst (Credit Risk),nordea.com,stretch,relevant,https://www.nordea.com/en/positions/senior-quantitative-risk-analyst-credit-risk,site:nordea:85886
keep,keep,stockholm,(Senior) Quantitative Risk Analyst (Credit Risk),nordea.com,stretch,relevant,https://arbetsformedlingen.se/platsbanken/annonser/31392931,jobtech:jobstream:31392931
keep,keep,singapore,Platform Engineer — Systematic Commodities,~dymon asia capital (singapore) pte. ltd.,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/platform-engineer-%E2%80%94-systematic-commodities-dymon-asia-capital-af4a95132d007e599c5f0652fe59be80,mycareersfuture:singapore:af4a95132d007e599c5f0652fe59be80
keep,keep,singapore,NON-FERROUS METAL TRADING,~jin li industrial international pte. ltd.,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/non-ferrous-metal-trading-jin-li-industrial-international-e17e8aac93066e7e611ee5049a6ccf91,mycareersfuture:singapore:e17e8aac93066e7e611ee5049a6ccf91
keep,keep,singapore,Metals Analyst,~phaidon international (singapore) pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/wholesale-trade/metals-analyst-phaidon-international-7d4dbeda5f82a1afca30a491dc4707f2,mycareersfuture:singapore:7d4dbeda5f82a1afca30a491dc4707f2
keep,keep,singapore,Junior FX Trader,~bank of china limited,plausible,less_relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/junior-fx-trader-bank-china-b0c33a7d4139b942ef07bbbb41ac29b4,mycareersfuture:singapore:b0c33a7d4139b942ef07bbbb41ac29b4
keep,keep,singapore,Investment Analyst,~actelligent private limited,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/investment-analyst-actelligent-5ed81bb1966f98468e1b16926e2bfafa,mycareersfuture:singapore:5ed81bb1966f98468e1b16926e2bfafa
keep,keep,singapore,Fixed Income Trader,~bank of china limited,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/fixed-income-trader-bank-china-d14d451412d0029b8e8f1d291adc3a5b,mycareersfuture:singapore:d14d451412d0029b8e8f1d291adc3a5b
keep,keep,singapore,Equity Research Analyst,~novelty dept store pte ltd,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/equity-research-analyst-novelty-dept-store-52538cc2c12d1010111b624fa5ab2d1a,mycareersfuture:singapore:52538cc2c12d1010111b624fa5ab2d1a
keep,keep,singapore,Emerging Markets Asia FX & Rates Strategist,~barclays bank plc,,,https://www.mycareersfuture.gov.sg/job/banking-finance/emerging-markets-asia-fx-rates-strategist-barclays-bank-plc-c1d89389bae2f3a5484236b170bf445d,mycareersfuture:singapore:c1d89389bae2f3a5484236b170bf445d
keep,keep,singapore,ENERGY& CHEMICALS COMMODITY TRADING,~jin li industrial international pte. ltd.,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/energy-chemicals-commodity-trading-jin-li-industrial-international-c5c783dd8731592327d73ffec06b950f,mycareersfuture:singapore:c5c783dd8731592327d73ffec06b950f
keep,keep,singapore,DERIVATIVES TRADER (FX),~jin li industrial international pte. ltd.,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/derivatives-trader-jin-li-industrial-international-62d2403a5b107ad3722091d389b8816d,mycareersfuture:singapore:62d2403a5b107ad3722091d389b8816d
keep,keep,hong kong deprioritized,Campus Quantitative Trader (Intern),jumptrading.com,plausible,less_relevant,https://www.jumptrading.com/hr/job?gh_jid=8027922,greenhouse:jumptrading:8027922
keep,keep,hong kong deprioritized,Campus Quantitative Researcher (Intern),jumptrading.com,plausible,relevant,https://www.jumptrading.com/hr/job?gh_jid=8027900,greenhouse:jumptrading:8027900
keep,keep,hong kong singapore deprioritized,Campus AI/ML Researcher,jumptrading.com,plausible,adjacent,https://www.jumptrading.com/hr/job?gh_jid=8027938,greenhouse:jumptrading:8027938
keep,keep,singapore,C++ Quantitative Developer – Pricing,~evolution recruitment solutions pte. ltd.,stretch,less_relevant,https://www.mycareersfuture.gov.sg/job/information-technology/c-quantitative-developer-%E2%80%93-pricing-evolution-recruitment-solutions-8707971bcdfa76270b9fbc37ea621093,mycareersfuture:singapore:8707971bcdfa76270b9fbc37ea621093
keep,keep,singapore,Business Data Analyst - CFA / Equity / Stock [SQL],~luxoft information technology (singapore) pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/banking-finance/business-data-analyst-cfa-equity-stock-sql-luxoft-information-technology-55f28222095b87c36ab08a1408ce532b,mycareersfuture:singapore:55f28222095b87c36ab08a1408ce532b
keep,keep,singapore,Asia Equity Securities Lending (SBL) Trader,~toronto dominion (south east asia) limited,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/asia-equity-securities-lending-trader-toronto-dominion-b18fd242ce9a0bac1bd5ca10576df443,mycareersfuture:singapore:b18fd242ce9a0bac1bd5ca10576df443
keep,keep,singapore,"Analyst, Macro Research",~maybank research pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/banking-finance/analyst-macro-research-maybank-research-b4cec4d8ed71fa617dc61c708f672647,mycareersfuture:singapore:b4cec4d8ed71fa617dc61c708f672647
keep,keep,singapore,Ai Engineer,~techcom solutions (singapore) pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/ai-engineer-techcom-solutions-c6ca647c6262cdc98ea7dd32c4fda6bf,mycareersfuture:singapore:c6ca647c6262cdc98ea7dd32c4fda6bf
keep,keep,hong kong,"AI Product Analyst, Market Intelligence",~point72,,,https://boards.greenhouse.io/point72/jobs/8511578002?gh_jid=8511578002,greenhouse:point72:8511578002
keep,keep,singapore,Software Engineer (Java),~argyll scott consulting pte. ltd.,,,https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-argyll-scott-consulting-e50c14785f79803cd21e3fb3e3c4776f,mycareersfuture:singapore:e50c14785f79803cd21e3fb3e3c4776f
keep,keep,stockholm,"Senior Software Engineer: Market & Counterparty Risk | SEB, Solna",~seb,stretch,adjacent,https://jobbsafari.se/jobb/senior-software-engineer-market-counterparty-risk-seb-solna-ssseb-20513057,jobbsafari:sweden:20513057
keep,keep,singapore,Market Data & Trading Systems Engineer,tpicap.com,plausible,adjacent,https://tp.wd107.myworkdayjobs.com/en-US/TP-ICAP/job/Singapore/Market-Data-Engineer_R5732,workday:tp|wd107|TP-ICAP:/job/Singapore/Market-Data-Engineer_R5732
keep,keep,singapore,Junior Securities Dealer (Capital Market),~career story pte. ltd.,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/junior-securities-dealer-career-story-49f86b4b3102b68292565ec5d6039ccb,mycareersfuture:singapore:49f86b4b3102b68292565ec5d6039ccb
keep,keep,singapore,Emerging Markets Asia FX & Rates Strategist,cards.barclaycardus.com,,,https://barclays.wd3.myworkdayjobs.com/en-US/External_Career_Site_Barclays/job/Singapore-Marina-Bay-Financial-Tower-2/Research-Analyst--Asia-FX---EM-Macro-Strategy_JR-0000128711,workday:barclays|wd3|External_Career_Site_Barclays:/job/Singapore-Marina-Bay-Financial-Tower-2/Research-Analyst--Asia-FX---EM-Macro-Strategy_JR-0000128711
keep,keep,singapore,"Derivatives Sales Trader, Commodities",clsa.com,plausible,adjacent,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Singapore/Derivatives-Sales-Trader--Commodities_JR003265,workday:citicclsa|wd3|External:/job/Singapore/Derivatives-Sales-Trader--Commodities_JR003265
keep,keep,singapore,Credit Risk Analyst (Portfolio & Risk Analytics),~greenlane private ltd.,strong,less_relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/credit-risk-analyst-greenlane-0a131a3196bab0934fc0a95f07fb0c06,mycareersfuture:singapore:0a131a3196bab0934fc0a95f07fb0c06
keep,keep,singapore,Reputable and growing Commodities MNC: Risk Analyst/Middle Officer (Metals),~the resolute hunter pte. ltd.,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/accounting/reputable-growing-commodities-mnc-risk-analystmiddle-officer-resolute-hunter-db1d0af860ab69013130b873756167fd,mycareersfuture:singapore:db1d0af860ab69013130b873756167fd
keep,keep,singapore,Quant Researcher #77900,~anradus pte. ltd.,stretch,relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/quant-researcher-77900-anradus-7b3038bb1addf53aa61a8c2d834faccb,mycareersfuture:singapore:7b3038bb1addf53aa61a8c2d834faccb
keep,keep,singapore,Banking: FX Corporate Dealer,~the resolute hunter pte. ltd.,stretch,adjacent,https://www.mycareersfuture.gov.sg/job/accounting/banking-fx-corporate-dealer-resolute-hunter-a0f1542618613016adf246c4e6994679,mycareersfuture:singapore:a0f1542618613016adf246c4e6994679
keep,keep,singapore,Treasury Trader,~hr-pro recruitment services pte. ltd.,plausible,less_relevant,https://www.mycareersfuture.gov.sg/job/banking-finance/treasury-trader-hr-pro-recruitment-services-15b0eb70c71bcf97d798889b888a3bbd,mycareersfuture:singapore:15b0eb70c71bcf97d798889b888a3bbd
keep,keep,singapore,Sales Trader – Cross-Border Derivatives,~haitong international securities (singapore) pte. ltd.,plausible,adjacent,https://www.mycareersfuture.gov.sg/job/banking-finance/sales-trader-%E2%80%93-cross-border-derivatives-haitong-international-securities-36d5616c3ceae038f63f863d2e7b9b5a,mycareersfuture:singapore:36d5616c3ceae038f63f863d2e7b9b5a
keep,keep,singapore,Research Analyst,~point72,stretch,adjacent,https://boards.greenhouse.io/point72/jobs/8374726002?gh_jid=8374726002,greenhouse:point72:8374726002
keep,keep,hong kong new york deprioritized,Quantitative Researcher - Machine Learning,~point72,strong,relevant,https://boards.greenhouse.io/point72/jobs/8023550002?gh_jid=8023550002,greenhouse:point72:8023550002
keep,keep,hong kong new york deprioritized,Point72 Fund Flow Strategist,~point72,strong,relevant,https://boards.greenhouse.io/point72/jobs/8187982002?gh_jid=8187982002,greenhouse:point72:8187982002
