n,relevance,seniority,note,title,firm,location,department,url,ats,token,job_id
13,rejected,unknown,Mental health consultant at bank; not quant work,Workplace Mental Health Consultant (Part Time),rre.com,"Florence, Kentucky, United States",Employer Services,https://job-boards.greenhouse.io/springhealth66/jobs/4679718005,greenhouse,springhealth66,4679718005
14,rejected,unknown,Event planning specialist; not finance,Senior Meeting Planning & Hospitality Specialist,williamblair.com,"Chicago, Illinois, United States",820 WREM,https://www.williamblair.com/Careers/job-description?gh_jid=5204757007,greenhouse,williamblair,5204757007
15,less_relevant,new_grad,Graduate quant trader NYC; trading training program,Graduate Quantitative Trader,flowtraders.com,New York,Trading,https://job-boards.greenhouse.io/flowtraders/jobs/8094581,greenhouse,flowtraders,8094581
16,less_relevant,senior_6_10,Experienced equity trader; trading desk focused,Experienced Equity Discretionary Trader,gelbergroup.com,"White Plains, New York, United States",Trading,https://job-boards.greenhouse.io/gelbergroup/jobs/4684313006,greenhouse,gelbergroup,4684313006
17,less_relevant,junior_0_2,Junior quant derivatives; likely trading/risk focused,"Junior Quant, Equity Derivatives",clsa.com,London,,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/London/Junior-Quant--Equity-Derivatives_JR002854,workday,citicclsa|wd3|External,/job/London/Junior-Quant--Equity-Derivatives_JR002854
18,less_relevant,student_intern,Barclays QA internship Singapore; analytics support,Quantitative Analytics Associate Off Cycle Internship 2027 Singapore,cards.barclaycardus.com,"Singapore, Marina Bay Financial Tower 2",,https://barclays.wd3.myworkdayjobs.com/en-US/External_Career_Site_Barclays/job/Singapore-Marina-Bay-Financial-Tower-2/Quantitative-Analytics-Associate-Off-Cycle-Internship-2027-Singapore_JR-0000117563,workday,barclays|wd3|External_Career_Site_Barclays,/job/Singapore-Marina-Bay-Financial-Tower-2/Quantitative-Analytics-Associate-Off-Cycle-Internship-2027-Singapore_JR-0000117563
19,less_relevant,senior_6_10,Experienced trader; trading desk no research,Experienced Trader,gelbergroup.com,"Chicago, IL",Trading,https://job-boards.greenhouse.io/gelbergroup/jobs/4683960006,greenhouse,gelbergroup,4683960006
20,less_relevant,senior_6_10,Experienced energy trader; trading commodities,Experienced Energy Trader,gelbergroup.com,"Chicago, IL; White Plains, New York, United States",Trading,https://job-boards.greenhouse.io/gelbergroup/jobs/4676117006,greenhouse,gelbergroup,4676117006
21,less_relevant,junior_0_2,Junior macro overlay trader; trading desk focused,Junior Macro Overlay Trader - Global Markets Division,bankofsingapore.com,OCBC Singapore,,https://ocbc.wd102.myworkdayjobs.com/en-US/External/job/OCBC-Singapore/Junior-Macro-Overlay-Trader---Global-Markets-Division_JR00009824,workday,ocbc|wd102|External,/job/OCBC-Singapore/Junior-Macro-Overlay-Trader---Global-Markets-Division_JR00009824
22,rejected,unknown,Sales for data platform; not financial markets,Strategic Account Executive - Consumer Goods Industry ,dcvc.com,"London, United Kingdom",Enterprise Sales,https://databricks.com/company/careers/open-positions/job?gh_jid=8622413002,greenhouse,databricks,8622413002
23,rejected,unknown,Event coordinator; not quant work,Event Coordinator (Casual) - Melbourne,moomoo.com,,Global Branches,https://apply.workable.com/j/DE44472A94,workable,moomoo,DE44472A94
24,relevant,new_grad,Quant researcher identifying trading opportunities early career,Quantitative Researcher (Full-Time - Master’s/Bachelor’s),radixtrading.com,"Chicago, New York, Amsterdam",Research,https://job-boards.greenhouse.io/radixuniversity/jobs/8521642002,greenhouse,radixuniversity,8521642002
25,less_relevant,unknown,Institutional trader; trading operations not research,Institutional Trader ,flowtraders.com,Hong Kong,Trading,https://job-boards.greenhouse.io/flowtraders/jobs/7927974,greenhouse,flowtraders,7927974
26,less_relevant,junior_0_2,Junior gold trader; trading focused,Junior Gold Trader - Global Markets Division,bankofsingapore.com,OCBC Singapore,,https://ocbc.wd102.myworkdayjobs.com/en-US/External/job/OCBC-Singapore/Junior-Gold-Trader---Global-Markets-Division_JR00009823-1,workday,ocbc|wd102|External,/job/OCBC-Singapore/Junior-Gold-Trader---Global-Markets-Division_JR00009823-1
27,rejected,unknown,Autonomy engineer at vehicle company; not finance,Autonomy Release Engineer II,mavenventures.com,"Ann Arbor, MI",Autonomy Engineering,https://job-boards.greenhouse.io/maymobility/jobs/8418831002,greenhouse,maymobility,8418831002
28,less_relevant,unknown,Platform support engineer at quant firm; operations,Platform Support Engineer,schonfeld.com,"New York, New York, United States",Platform Support,https://job-boards.greenhouse.io/schonfeld/jobs/7996905,greenhouse,schonfeld,7996905
29,rejected,unknown,Crypto credit risk analyst; crypto outside scope,Credit Risk Analyst,blockchaincapital.com,Remote - USA,Finance & Accounting,https://www.coinbase.com/careers/positions/8131356?gh_jid=8131356,greenhouse,coinbase,8131356
30,less_relevant,senior_6_10,Experienced equity options trader; trading desk,Experienced Equity Options Discretionary Trader,gelbergroup.com,"Chicago, IL",Trading,https://job-boards.greenhouse.io/gelbergroup/jobs/4684317006,greenhouse,gelbergroup,4684317006
31,less_relevant,junior_0_2,Associate quant developer; development not research,"Associate, Quant Developer, Delta One, Equity Derivatives",clsa.com,Hong Kong,,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong/Associate-Director--Director--EQD-Quant-Developer--Equity-Derivatives_JR002284,workday,citicclsa|wd3|External,/job/Hong-Kong/Associate-Director--Director--EQD-Quant-Developer--Equity-Derivatives_JR002284
32,rejected,unknown,Loan processor fintech; lending operations not markets,Senior Loan Processor (Hybrid),enova.com,"South Jordan, UT",Credit Operations,https://job-boards.greenhouse.io/enova/jobs/8092052,greenhouse,enova,8092052
33,rejected,student_intern,Private equity ESG internship; PE discretionary investing,ESG internship | London | 6-months,paipartners.com,"London, United Kingdom",PPG ESG,https://careers.paipartners.com/o/esg-internship-london-6-months,recruitee,paipartners,2440750
34,less_relevant,junior_0_2,Experienced trader Amsterdam; at least two years specified,Experienced Trader,gelbergroup.com,"Amsterdam, North Holland, Netherlands",Trading,https://job-boards.greenhouse.io/gelbergroup/jobs/4684327006,greenhouse,gelbergroup,4684327006
35,rejected,unknown,Business analyst fintech; not quant markets research,Business Analyst,teya.com,London,Credit & Analytics,https://jobs.ashbyhq.com/teya/a5cae31a-ed90-4604-a371-5aa6a3e12fb4,ashby,teya,a5cae31a-ed90-4604-a371-5aa6a3e12fb4
36,less_relevant,student_intern,Barclays finance internship summer 2027,Quantitative Finance Associate Summer Internship Program 2027 New York,cards.barclaycardus.com,"New York, 745 7th Avenue",,https://barclays.wd3.myworkdayjobs.com/en-US/External_Career_Site_Barclays/job/New-York-745-7th-Avenue/Quantitative-Finance-Associate-Summer-Internship-Program-2027-New-York_JR-0000128099,workday,barclays|wd3|External_Career_Site_Barclays,/job/New-York-745-7th-Avenue/Quantitative-Finance-Associate-Summer-Internship-Program-2027-New-York_JR-0000128099
37,rejected,unknown,Home modification contractor; not finance,General Contractor - Home Modifications,primary.vc,"Cleveland, OH",Installer Network,https://job-boards.greenhouse.io/jukeboxhealth/jobs/4286114009,greenhouse,jukeboxhealth,4286114009
38,rejected,unknown,Tax associate at credit firm; not research,Associate,eaglepointcredit.com,"Greenwich, CT",Tax,https://jobs.lever.co/eaglepointcredit/2124b96d-53db-4d1c-be69-d2eb2360da1a,lever,eaglepointcredit,2124b96d-53db-4d1c-be69-d2eb2360da1a
39,less_relevant,unknown,DevOps engineer; systems infrastructure not research,Quantitative Technologist (Full-Time - DevOps & Systems Engineering),radixtrading.com,"Chicago, New York, Amsterdam","DevOps, Automation, & HPC Systems",https://job-boards.greenhouse.io/radixuniversity/jobs/8521638002,greenhouse,radixuniversity,8521638002
40,rejected,unknown,Growth equity research analyst; discretionary investing excluded,Research Analyst,sandscapital.com,"Arlington, VA",Public Markets Team,https://job-boards.greenhouse.io/sandscapitalmanagementllc/jobs/4690540006,greenhouse,sandscapitalmanagementllc,4690540006
41,less_relevant,junior_0_2,Credit quantitative risk; risk modeling not alpha research,"Associate, Liquid Credit Quantitative Risk & Research",ares.com,"Los Angeles, CA - Century City",,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External/job/Los-Angeles-CA---Century-City/Associate--Liquid-Credit-Quantitative-Risk---Research_R8318,workday,aresmgmt|wd1|External,/job/Los-Angeles-CA---Century-City/Associate--Liquid-Credit-Quantitative-Risk---Research_R8318
42,rejected,student_intern,German HSE student worker; not finance,"Werkstudent Health, Safety & Environment (m/w/d)",earlybird.com,"Ottobrunn, Bavaria, Germany","Infrastructure, Safety & Service",https://job-boards.eu.greenhouse.io/isaraerospace/jobs/4772565101,greenhouse,isaraerospace,4772565101
43,less_relevant,unknown,Data engineer at quant firm; infrastructure not research,Data Engineer,winton.com,"London, United Kingdom",Software Development,https://job-boards.eu.greenhouse.io/winton/jobs/4574638101,greenhouse,winton,4574638101
44,rejected,junior_0_2,Credit risk operations; fintech not markets research,"Associate, Credit Risk Operations (Debt Collections)",airwallex.com,SG - Singapore,Operations,https://jobs.ashbyhq.com/airwallex/b7239044-3e5f-49eb-a64e-2de83d7b275b,ashby,airwallex,b7239044-3e5f-49eb-a64e-2de83d7b275b
45,less_relevant,senior_6_10,FPGA engineer requires PhD; hardware systems specialized,"Quantitative Technologist (Full-Time - FPGA Engineer, PhD) ",radixtrading.com,Chicago,Hardware,https://job-boards.greenhouse.io/radixuniversity/jobs/8521654002,greenhouse,radixuniversity,8521654002
46,less_relevant,junior_0_2,Associate precious metals trader; trading focused,"Associate, Precious Metals Trader, Commodities",clsa.com,Hong Kong,,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong/Associate--Precious-Metals-Trader--Commodities_JR002601,workday,citicclsa|wd3|External,/job/Hong-Kong/Associate--Precious-Metals-Trader--Commodities_JR002601
47,rejected,unknown,AI benchmark SME; not financial markets research,Subject Matter Expert – Qualtative/Scientific/Corporate (English/Mandarin) – Remote,clear.ventures,China (Remote),LiltLancer Community,https://jobs.ashbyhq.com/lilt-production/9930e4a9-40ad-4fd7-8df2-d5811e1cef44,ashby,lilt-production,9930e4a9-40ad-4fd7-8df2-d5811e1cef44
48,rejected,unknown,Data governance analyst forex fintech; not research,Data Governance Analyst,pepperstone.com,,IT,https://apply.workable.com/j/6D68ADA2B2,workable,pepperstone,6D68ADA2B2
49,rejected,junior_0_2,Credit risk operations underwriting; not research,"Associate, Credit Risk Operations (Underwriting)",airwallex.com,SG - Singapore,Operations,https://jobs.ashbyhq.com/airwallex/70a4cf53-2312-48a9-973d-3f55f41ab2d3,ashby,airwallex,70a4cf53-2312-48a9-973d-3f55f41ab2d3
50,rejected,unknown,Crypto user researcher; not markets quant research,"Senior Researcher, Consumer (Advanced)",blockchaincapital.com,Remote - USA,Design,https://www.coinbase.com/careers/positions/8095526?gh_jid=8095526,greenhouse,coinbase,8095526
51,adjacent,junior_0_2,Quantitative strategist title vague; no job description,"Associate, AI Solutions & Quantitative Strategist",apollo.com,"New York, New York",,https://athene.wd5.myworkdayjobs.com/en-US/Apollo_Careers/job/New-York-New-York/Associate--Quantitative-Strategist_R260059,workday,athene|wd5|Apollo_Careers,/job/New-York-New-York/Associate--Quantitative-Strategist_R260059
52,rejected,unknown,Portfolio operations analyst; ETF operations not research,Portfolio Operations Analyst,profunds.com,"Bethesda, MD",Portfolio Operations,https://boards.greenhouse.io/proshares/jobs/6121499004?gh_jid=6121499004,greenhouse,proshares,6121499004
53,rejected,unknown,Ads product specialist; media tech not finance,Programmatic and Sponsorship Ads Product Specialist,step.com,"New York, NY",Engineering,https://job-boards.greenhouse.io/mrbeastyoutube/jobs/6114090004,greenhouse,mrbeastyoutube,6114090004
54,less_relevant,unknown,C++ quant developer; alpha generation via development,Quantitative Technologist (Full-Time - C++ Developer) ,radixtrading.com,"Chicago, New York, Amsterdam",Research Technology & Trading Systems,https://job-boards.greenhouse.io/radixuniversity/jobs/8500240002,greenhouse,radixuniversity,8500240002
55,rejected,unknown,Trading specialist broker; not research,Trading Specialist,moomoo.com,,,https://apply.workable.com/j/AC75CFB242,workable,moomoo,AC75CFB242
56,relevant,new_grad,Graduate quantitative researcher quant options trading,Graduate Quantitative Researcher,alloptions.nl,Austin,Quant Trading,https://alloptions.bamboohr.com/careers/86,bamboohr,alloptions,86
57,less_relevant,unknown,Quantitative analyst FX trading; trading not research,Quantitative Analyst FX Electronic Trading,citibank.com.sg,London  United Kingdom,,https://citi.wd5.myworkdayjobs.com/en-US/2/job/London--United-Kingdom/Quantitative-Analyst-FX-Electronic-Trading_26972675,workday,citi|wd5|2,/job/London--United-Kingdom/Quantitative-Analyst-FX-Electronic-Trading_26972675
58,rejected,unknown,Solutions architect crypto; crypto outside scope,Solutions Architect,blockchaincapital.com,"Hybrid - New York, NY","Institutional Sales, Trading, and Prime Services",https://www.coinbase.com/careers/positions/8056065?gh_jid=8056065,greenhouse,coinbase,8056065
59,rejected,unknown,IT security PKI specialist; not finance,PKI specialist till Serviceförvaltningen,medmerabank.se,"Stockholm, Sweden",Security,https://career.computerswedenrecruitment.se/jobs/8157438-pki-specialist-till-serviceforvaltningen,teamtailor,career.computerswedenrecruitment.se,4fab29f1-1d9c-496b-87ed-cda605600ffe
60,rejected,unknown,Data solutions analyst wealth fintech; not research,Client Delivery Advocate - Analyst,icapitalnetwork.com,"Salt Lake City, Utah, United States",Data Solutions,https://job-boards.greenhouse.io/icapitalnetwork/jobs/8586146002,greenhouse,icapitalnetwork,8586146002
61,less_relevant,unknown,Sales trader FX; trading not research,Sales Trader,cmcmarkets.com,Singapore,,https://cmcmarkets.wd3.myworkdayjobs.com/en-US/CMC_Markets_Careers/job/Singapore/Sales-Trader_CMC4427-1,workday,cmcmarkets|wd3|CMC_Markets_Careers,/job/Singapore/Sales-Trader_CMC4427-1
62,rejected,unknown,Executive assistant crypto trading; admin not research,"Executive Assistant, Trading & Research",galaxy.com,"New York, NY",Admin,https://job-boards.greenhouse.io/galaxydigitalservices/jobs/6114658004,greenhouse,galaxydigitalservices,6114658004
63,rejected,unknown,Sales executive manufacturing; not finance,"Senior Account Executive, Defense",cherry.vc,"Huntsville, AL",Marketplace Sales,https://job-boards.greenhouse.io/xometry/jobs/5211490007,greenhouse,xometry,5211490007
64,rejected,unknown,Financial analyst infrastructure funds; not quant research,"Financial Analyst, Reporting (Future Opportunities)",fengate.com,,,https://apply.workable.com/j/D53D00AD9B,workable,fengate,D53D00AD9B
65,less_relevant,unknown,Electronic algo sales trader; trading sales not research,Electronic/Algo Sales Trader,tpicap.com,Singapore,,https://tp.wd107.myworkdayjobs.com/en-US/TP-ICAP/job/Singapore/Associate--Execution-Trading_R5426,workday,tp|wd107|TP-ICAP,/job/Singapore/Associate--Execution-Trading_R5426
66,less_relevant,unknown,Quantitative developer commodities; development not research,"Quantitative Developer, Commodities",winton.com,"London, United Kingdom",IMR,https://job-boards.eu.greenhouse.io/winton/jobs/4875778101,greenhouse,winton,4875778101
67,rejected,unknown,Data integration analyst healthcare; not finance,Senior Data Integration Analyst,flarecapital.com,United States,Payment Solutions,https://job-boards.greenhouse.io/coherehealth/jobs/7784512003,greenhouse,coherehealth,7784512003
68,rejected,junior_0_2,Corporate credit analyst CLO; ratings not alpha research,"Analyst/Associate, Corporate Credit (Credit Estimates)",rram.com,"9 West 57th Street 17th Floor New York, NY 10019",Corporate Advisory,https://job-boards.greenhouse.io/reddingridge/jobs/5365957008,greenhouse,reddingridge,5365957008
69,adjacent,unknown,Quantitative model analyst bank; unclear if trading or risk,Quantitative Model Analyst 2,usbank.com,4 Locations,,https://usbank.wd1.myworkdayjobs.com/en-US/US_Bank_Careers/job/Chicago-IL/Quantitative-Model-Analyst-2_2026-0014257,workday,usbank|wd1|US_Bank_Careers,/job/Chicago-IL/Quantitative-Model-Analyst-2_2026-0014257
70,less_relevant,unknown,Trading desk algorithmic firm; trading not research,Trading Desk,xtxmarkets.com,"Singapore, Central, Singapore",Trading,https://job-boards.greenhouse.io/xtxmarketstechnologies/jobs/7798502003,greenhouse,xtxmarketstechnologies,7798502003
71,rejected,unknown,Swedish IT operations education; not finance,Teknisk systemförvaltare till Dibber,Dibber Sverige AB,"Sollentuna, Stockholms län",Systemförvaltare,https://arbetsformedlingen.se/platsbanken/annonser/31349646,jobtech,jobstream,31349646
72,rejected,junior_0_2,Financial PR associate; communications not research,Financial PR Associate,moomoo.com,,Key Account Business Department,https://apply.workable.com/j/FAA05BA21F,workable,moomoo,FAA05BA21F
73,adjacent,unknown,Quant analyst exchange operator; unclear scope,Quant Analyst,euronext.com,London,,https://hrhub.wd3.myworkdayjobs.com/en-US/Euronext_Career_Page/job/London/Quant-Analyst_R26971,workday,hrhub|wd3|Euronext_Career_Page,/job/London/Quant-Analyst_R26971
74,less_relevant,unknown,Portfolio strategy risk analyst; strategy/risk not research,Systematic Portfolio Strategy and Risk Analyst (NYC or Miami),schonfeld.com,"Miami, Florida, United States; New York, New York, United States",Systematic Risk,https://job-boards.greenhouse.io/schonfeld/jobs/7402926,greenhouse,schonfeld,7402926
75,rejected,unknown,Commercial garage door technician; not finance,Commercial Garage Door Technician,guildgaragegroup.com,"Raleigh, North Carolina, United States",Commercial,https://job-boards.greenhouse.io/guildgaragegroup/jobs/4336339009,greenhouse,guildgaragegroup,4336339009
76,rejected,unknown,Customer experience associate retail; not research,Financial Customer Experience Associate - Licensed,moomoo.com,,Global Branches,https://apply.workable.com/j/3297D7424C,workable,moomoo,3297D7424C
77,less_relevant,unknown,Execution consultant trading; trading execution not research,"Execution Consultant, Trading",clsa.com,Singapore,,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Singapore/Execution-Consultant--Trading_JR002785,workday,citicclsa|wd3|External,/job/Singapore/Execution-Consultant--Trading_JR002785
78,less_relevant,unknown,DevOps engineer night shift; systems infrastructure,Quantitative Technologist (Full-Time - DevOps - Night Shift),radixtrading.com,Chicago,"DevOps, Automation, & HPC Systems",https://job-boards.greenhouse.io/radixuniversity/jobs/8521641002,greenhouse,radixuniversity,8521641002
79,rejected,unknown,Lifecycle marketer AI education; not finance research,Lifecycle Marketer,aifund.ai,"Mountain View, CA",Marketing,https://jobs.lever.co/AIFund/55952a18-f51f-4d42-a2d4-88ddbb8a6e27,lever,AIFund,55952a18-f51f-4d42-a2d4-88ddbb8a6e27
80,rejected,unknown,Site reliability engineer payments; not quant research,Site Reliability Engineer,gocardless.com,"London, UK",Product Development,https://job-boards.greenhouse.io/gocardless/jobs/7996584,greenhouse,gocardless,7996584
81,less_relevant,unknown,Quantitative research portfolio implementation; operational focus,Quantitative Research Analyst – Portfolio Implementation,pimco.com,"Newport Beach, CA USA",,https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers/job/Newport-Beach-CA-USA/Quantitative-Research-Analyst---Portfolio-Implementation_R105714,workday,pimco|wd1|pimco-careers,/job/Newport-Beach-CA-USA/Quantitative-Research-Analyst---Portfolio-Implementation_R105714
82,relevant,unknown,Applied ML scientist quant trading firm; research on strategies,Applied ML Scientist ,pdtpartners.com,"New York, NY",Research / Strategies,https://job-boards.greenhouse.io/pdtpartners/jobs/1473516,greenhouse,pdtpartners,1473516
83,rejected,unknown,Porter building maintenance; not finance,Porter - 300 Main,kairoi.com,"300 Main - San Antonio, TX, San Antonio, United States",Operations - Community,https://careers.kairoi.com/jobs/657044-porter-300-main,teamtailor,careers.kairoi.com,52da14ab-b651-42c2-aebe-49dcbbbfe206
84,rejected,junior_0_2,Portfolio oversight real estate; discretionary investing,"Associate, Portfolio Oversight",cimgroup.com,"Los Angeles, CA",Investments - Real Estate Equity,https://jobs.lever.co/cimgroup/cdef5ff5-718f-4447-a860-302708bb7c95,lever,cimgroup,cdef5ff5-718f-4447-a860-302708bb7c95
85,adjacent,unknown,Quantitative valuations LSEG; valuations could be operational,"Specialist, Quantitative Valuations",lseg.com,USA-New York-28 Liberty Street,,https://lseg.wd3.myworkdayjobs.com/en-US/Careers/job/USA-New-York-28-Liberty-Street/Specialist--Quantitative-Valuations_R0120356-1,workday,lseg|wd3|Careers,/job/USA-New-York-28-Liberty-Street/Specialist--Quantitative-Valuations_R0120356-1
86,rejected,junior_0_2,Derivative sales analyst crypto; crypto sales not research,Derivative Sales Analyst,blockchaincapital.com,Remote - UK,"Institutional Sales, Trading, and Prime Services",https://www.coinbase.com/careers/positions/8097446?gh_jid=8097446,greenhouse,coinbase,8097446
87,rejected,unknown,Data center operations superintendent; not research,Site Superintendent – Data Center Startup & Commissioning,shieldcap.com,United States (Remote),R&D - Edge Hardware,https://job-boards.greenhouse.io/armada/jobs/5383208008,greenhouse,armada,5383208008
88,rejected,unknown,Investment analyst healthcare private equity; PE discretionary,"Senior Analyst, Investment Team (Animal & Environmental Health)",archimed.group,,Archimed,https://apply.workable.com/j/73C32923F1,workable,archimed,73C32923F1
89,less_relevant,unknown,Quantitative model stress testing; risk modeling not research,Quantitative Analytics Specialist (Stress Testing Model Development) - SAS/Python,td.com,2 Locations,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/Wilmington-Delaware/Quantitative-Analytics-Specialist--Stress-Testing-Model-Development----SAS-Python_R_1499218-1,workday,td|wd3|TD_Bank_Careers,/job/Wilmington-Delaware/Quantitative-Analytics-Specialist--Stress-Testing-Model-Development----SAS-Python_R_1499218-1
90,rejected,junior_0_2,Derivative sales crypto; crypto sales excluded,Derivative Sales Analyst (Prosumer Sales),blockchaincapital.com,Remote - USA,"Institutional Sales, Trading, and Prime Services",https://www.coinbase.com/careers/positions/8021857?gh_jid=8021857,greenhouse,coinbase,8021857
91,rejected,unknown,AI engineer fintech bank; fintech product not markets research,AI Engineer,nordiska.se,"Stockholm, Sweden",Tech,https://career.nordiska.com/jobs/8219921-ai-engineer,teamtailor,career.nordiska.com,ae2fbe07-abc6-4e49-a1ca-bda35ce51815
92,less_relevant,senior_6_10,Senior software engineer treasury technology; systems,Senior Software Engineer,schonfeld.com,"London, England, United Kingdom",Treasury Technology,https://job-boards.greenhouse.io/schonfeld/jobs/8091383,greenhouse,schonfeld,8091383
93,rejected,unknown,Model analyst AML bank; compliance not research,Quantitative Model Analyst - AML,usbank.com,5 Locations,,https://usbank.wd1.myworkdayjobs.com/en-US/US_Bank_Careers/job/Charlotte-NC/Quantitative-Model-Analyst---AML_2026-0023207,workday,usbank|wd1|US_Bank_Careers,/job/Charlotte-NC/Quantitative-Model-Analyst---AML_2026-0023207
94,rejected,unknown,Equity analyst growth company; discretionary fundamental research,Equity Analyst,focusfinancialpartners.com,"New York , NY",Operations & Analytics,https://job-boards.greenhouse.io/focusfinancialpartners/jobs/6102839004,greenhouse,focusfinancialpartners,6102839004
95,rejected,unknown,Vehicle communications architect autonomy; not finance,Senior Vehicle Communications Architect,mavenventures.com,"Ann Arbor, MI",Autonomy Engineering,https://job-boards.greenhouse.io/maymobility/jobs/8206406002,greenhouse,maymobility,8206406002
96,rejected,unknown,Platform engineer market intelligence; infrastructure not research,"Staff Platform Engineer, Cloud Developer Experience",tribecavp.com,Remote - United States,Engineering,https://job-boards.greenhouse.io/alphasense/jobs/8687635002,greenhouse,alphasense,8687635002
97,less_relevant,unknown,Quantitative analyst rates market making; trading not research,Quantitative Analyst (Rates Electronic Market Making),citibank.com.sg,London  United Kingdom,,https://citi.wd5.myworkdayjobs.com/en-US/2/job/London--United-Kingdom/Quantitative-Analyst--Rates-Electronic-Market-Making-_26976732,workday,citi|wd5|2,/job/London--United-Kingdom/Quantitative-Analyst--Rates-Electronic-Market-Making-_26976732
98,rejected,unknown,Data scientist pricing fintech; lending not markets,Data Scientist - Pricing & Profitability (Hybrid),enova.com,"Chicago, IL",Analytics,https://job-boards.greenhouse.io/enova/jobs/8092417,greenhouse,enova,8092417
99,rejected,unknown,Talent community CDMO pharma; not finance,Werde Teil unserer Talent Community!,simtra.com,"Halle, North Rhine-Westphalia, Germany",,https://job-boards.greenhouse.io/simtrabps/jobs/4624458007,greenhouse,simtrabps,4624458007
100,rejected,unknown,Salesforce engineer wealth advisory; CRM not research,Senior Salesforce Engineer,tuftoncapital.com,"Remote, USA",Technology,https://job-boards.greenhouse.io/merceradvisors/jobs/5265775008,greenhouse,merceradvisors,5265775008
101,relevant,unknown,Execution research at quant firm; no clear title seniority,"Execution Quant, Trading",clsa.com,Hong Kong,,https://citicclsa.wd3.myworkdayjobs.com/en-US/External/job/Hong-Kong/Execution-Quant--Trading_JR002875,workday,citicclsa|wd3|External,/job/Hong-Kong/Execution-Quant--Trading_JR002875
102,rejected,unknown,Market intelligence research; fintech not quant markets,Channel and Customer Research Analyst (Japanese Speaker),tribecavp.com,"Singapore, Central, Singapore",Expert Insights,https://job-boards.greenhouse.io/alphasense/jobs/8574484002,greenhouse,alphasense,8574484002
