n,relevance,seniority,note,title,firm,location,department,url,ats,token,job_id
26,relevant,junior_0_2,early career quant researcher,Early Career Next Gen Quant Equity Researcher,robeco.com,Robeco Institutional Asset Management US Inc. - Boston,,https://robeco.wd3.myworkdayjobs.com/en-US/robecoexternalcareers/job/Robeco-Institutional-Asset-Management-US-Inc---Boston/Early-Career-Next-Gen-Quant-Equity-Researcher_R2068,workday,robeco|wd3|robecoexternalcareers,/job/Robeco-Institutional-Asset-Management-US-Inc---Boston/Early-Career-Next-Gen-Quant-Equity-Researcher_R2068
28,rejected,senior_6_10,healthcare data scientist; not finance,Senior Data Scientist,khim.com,"Irving, TX 75062 Vizient Corporate HQ; Chicago, IL 60607; Centennial, CO 80111",,https://vizient.wd1.myworkdayjobs.com/en-US/Vizient_Careers/job/Irving-TX-75062-Vizient-Corporate-HQ/Senior-Data-Scientist_34796R,workday,vizient|wd1|Vizient_Careers,/job/Irving-TX-75062-Vizient-Corporate-HQ/Senior-Data-Scientist_34796R
29,adjacent,unknown,exchange product; not quant,Product Specialist - Cash Equity & Market Data,euronext.com,2 Locations,,https://hrhub.wd3.myworkdayjobs.com/en-US/Euronext_Career_Page/job/Paris/Product-Specialist---Cash-Equity---Market-Data_R25957-1,workday,hrhub|wd3|Euronext_Career_Page,/job/Paris/Product-Specialist---Cash-Equity---Market-Data_R25957-1
30,relevant,junior_0_2,systematic trading quant researcher,Quantitative Researcher ,headlandstech.com,Amsterdam; Chicago; London; New York,Monetization,https://job-boards.greenhouse.io/headlandstechnologiesllc/jobs/4194144009,greenhouse,headlandstechnologiesllc,4194144009
31,relevant,junior_0_2,quant researcher; trading signals and models,"Quantitative Researcher, PhD ",aquatic.com,Chicago; New York,Research,https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8387685002,greenhouse,aquaticcapitalmanagement,8387685002
34,relevant,unknown,quant engineer; risk analytics,Quantitative Engineer – Risk Analytics,swissquant.com,Zürich,Product,https://swissquant.bamboohr.com/careers/116,bamboohr,swissquant,116
35,relevant,unknown,quant researcher; macro strategies,Quantitative Researcher - Macro,manhong.com.hk,London,Core,https://job-boards.eu.greenhouse.io/mangroup/jobs/4724414101,greenhouse,mangroup,4724414101
37,adjacent,unknown,portfolio construction support,"Investment Analyst, Victory Solutions",vcm.com,"VCM TX HQ 3RD FLOOR, Boston, MA - Amundi",Solutions Victory Shares,https://recruiting.ultipro.com/VIC1003/JobBoard/11134378-1d50-0a15-afaf-715c22796301/OpportunityDetail?opportunityId=0dc8398b-6de9-49ef-bb40-80c74e1368e8,ukg,VIC1003|11134378-1d50-0a15-afaf-715c22796301,0dc8398b-6de9-49ef-bb40-80c74e1368e8
39,adjacent,mid_3_5,trading desk operations; not quant,"Associate II, Fixed Income Trading Desk Support",northlandsecurities.com,"Minneapolis, MN - Northland Securities Office",,https://firstnational.wd12.myworkdayjobs.com/en-US/northlandcareers/job/Minneapolis-MN---Northland-Securities-Office/Associate-II--Fixed-Income-Trading-Desk-Support_R-20261445-2,workday,firstnational|wd12|northlandcareers,/job/Minneapolis-MN---Northland-Securities-Office/Associate-II--Fixed-Income-Trading-Desk-Support_R-20261445-2
41,rejected,senior_6_10,infrastructure engineer; not finance,"Sr. Staff Software Engineer, Observability ",dcvc.com,"Mountain View, California",Engineering,https://databricks.com/company/careers/open-positions/job?gh_jid=8391889002,greenhouse,databricks,8391889002
42,less_relevant,senior_6_10,platform engineer; systems not quant,Senior Platform Engineer,systematica.com,London,,https://systematica.pinpointhq.com/en/postings/a59e017b-731a-48f9-a365-5dcbf1fd385a,pinpoint,systematica,544190
43,rejected,senior_6_10,consumer research; not finance,Sr. Consumer Research Analyst,columbia.com,"Portland, Oregon, United States of America",,https://columbiasportswearcompany.wd5.myworkdayjobs.com/en-US/CSC_Careers/job/Portland-Oregon-United-States-of-America/Sr-Consumer-Research-Analyst_R-025737-1,workday,columbiasportswearcompany|wd5|CSC_Careers,/job/Portland-Oregon-United-States-of-America/Sr-Consumer-Research-Analyst_R-025737-1
44,less_relevant,junior_0_2,fundamental research analyst; not quant-focused,Junior Research Associate,polencapital.com,Waltham,Investment Research,https://recruiting.ultipro.com/POL1011POLC/JobBoard/c5f932a4-d083-46c2-94a7-de31e39021c4/OpportunityDetail?opportunityId=108e19c2-42a3-4ac1-8d6a-20f6c64417d9,ukg,POL1011POLC|c5f932a4-d083-46c2-94a7-de31e39021c4,108e19c2-42a3-4ac1-8d6a-20f6c64417d9
45,adjacent,junior_0_2,private equity investing; discretionary,Alternative Investments Analyst - Cigna Investment Management - Hybrid,cigna.com,"Bloomfield, CT",,https://cigna.wd5.myworkdayjobs.com/en-US/cignacareers/job/Bloomfield-CT/Alternative-Investments-Analyst---Cigna-Investment-Management---Hybrid_26007329,workday,cigna|wd5|cignacareers,/job/Bloomfield-CT/Alternative-Investments-Analyst---Cigna-Investment-Management---Hybrid_26007329
47,rejected,junior_0_2,real estate private capital,"Associate, Real Estate Portfolio Management",baincapitallifesciences.com,Boston,,https://baincapital.wd1.myworkdayjobs.com/en-US/External_Public/job/Boston/Associate--Real-Estate-Portfolio-Management_REQ_108164,workday,baincapital|wd1|External_Public,/job/Boston/Associate--Real-Estate-Portfolio-Management_REQ_108164
50,relevant,junior_0_2,quant portfolio analyst; derivatives work,PORTFOLIO ANALYST - ALTERNATIVE & RISK MITIGATION - PARIS or GENEVE,keplercheuvreux.com,"France - Paris, Paris, France, Switzerland - Genève, Genève, Switzerland",Ellipsis AM,https://keplercheuvreux.teamtailor.com/jobs/8215471-portfolio-analyst-alternative-risk-mitigation-paris-or-geneve,teamtailor,keplercheuvreux,87d3513f-ef67-4aa1-942f-10b8205f90a1
52,rejected,unknown,car rental pricing; not finance,COE Pricing Analyst,europcar.com,,,https://europcar.wd103.myworkdayjobs.com/en-US/EuropcarCareerPage/job/Madrid/COE-Pricing-Analyst_JR114426-1,workday,europcar|wd103|EuropcarCareerPage,/job/Madrid/COE-Pricing-Analyst_JR114426-1
53,rejected,unknown,bank software engineer; not quant,"Application Developer, Equity, Global Financial Markets",dbs.com,Guangzhou,,https://dbs.wd3.myworkdayjobs.com/en-US/DBS_Careers/job/Guangzhou/Application-Developer--Equity--Global-Financial-Markets_WD87971,workday,dbs|wd3|DBS_Careers,/job/Guangzhou/Application-Developer--Equity--Global-Financial-Markets_WD87971
54,relevant,unknown,quant engineer capital markets,Quant Engineer - Capital Market Technologies,swissquant.com,Zürich,Capital Market Technologies,https://swissquant.bamboohr.com/careers/109,bamboohr,swissquant,109
55,relevant,senior_6_10,credit risk model development expert,Credit Model Development Quantitative Expert,wilmingtontrust.com,"Buffalo, NY; Washington, DC; Baltimore, MD; Iselin, NJ; Wilmington, DE; New York, NY; Bridgeport, CT",,https://mtb.wd5.myworkdayjobs.com/en-US/WTExternal/job/Buffalo-NY/Credit-Model-Development-Quantitative-Expert_R87678,workday,mtb|wd5|WTExternal,/job/Buffalo-NY/Credit-Model-Development-Quantitative-Expert_R87678
56,relevant,senior_6_10,senior quant analyst; model risk,Senior Quantitative Analyst (US),td.com,"Mount Laurel, New Jersey; Charlotte, North Carolina",,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/Mount-Laurel-New-Jersey/Senior-Quantitative-Analyst--US-_R_1504854-1,workday,td|wd3|TD_Bank_Careers,/job/Mount-Laurel-New-Jersey/Senior-Quantitative-Analyst--US-_R_1504854-1
57,less_relevant,unknown,pension risk; insurance-adjacent,Riskanalytiker inom kapitalförvaltning,pensionsmyndigheten.se,,,https://pensionsmyndigheten.varbi.com/en/what:job/jobID:940673/,varbi,pensionsmyndigheten,940673
59,rejected,senior_6_10,insurance brokerage underwriting,"Sr. Analyst, Brokerage Placement - Personal Lines",bridgespecialtygroup.com,Remote - USA,,https://bbinsurance.wd1.myworkdayjobs.com/en-US/BSGCareers/job/Remote---USA/Sr-Analyst--Brokerage-Placement---Personal-Lines_R26_0000002537,workday,bbinsurance|wd1|BSGCareers,/job/Remote---USA/Sr-Analyst--Brokerage-Placement---Personal-Lines_R26_0000002537
61,adjacent,junior_0_2,client service operations,"Associate, Client Service Operations",bridgewater.com,"Westport, CT",Client Service,https://job-boards.greenhouse.io/bridgewater89/jobs/8394740002,greenhouse,bridgewater89,8394740002
65,rejected,senior_6_10,autonomous driving; not finance,Senior Data Scientist,firstminute.capital,London; Sunnyvale,"Simulation, Evaluation, Validation",https://wayve.firststage.co/jobs?gh_jid=8487888002,greenhouse,wayve,8487888002
66,relevant,junior_0_2,junior derivatives trader; prop trading,Junior Derivatives Trader,valkyrietrading.com,"Chicago, IL",Trading,https://jobs.lever.co/valkyrietrading/1a6e6202-5fdd-4051-9a23-c6518cf4fdad,lever,valkyrietrading,1a6e6202-5fdd-4051-9a23-c6518cf4fdad
68,adjacent,unknown,structured finance CLO work; not quant,Opportunities in Structured Products,golubcapital.com,,,https://wd501.myworkdaysite.com/en-US/Golub_Capital_Careers/job/Opportunities-in-Structured-Products_R-10380,workday,golubcapital|wd501|Golub_Capital_Careers|myworkdaysite.com,/job/Opportunities-in-Structured-Products_R-10380
69,adjacent,senior_6_10,trading execution operations; not research,"Senior Analyst, Trading ",atlanticwp.com,United States,Investment Solutions,https://jobs.ashbyhq.com/mariner-careers/56efbb73-e418-4ba8-9d97-f9e2f25513a8,ashby,mariner-careers,56efbb73-e418-4ba8-9d97-f9e2f25513a8
70,rejected,mid_3_5,life science real estate; not financial markets,"Associate or Sr. Analyst, Asset Management",btprop.com,Los Angeles  or Boston,Asset Management,https://btprop.com/career-opportunities/?gh_jid=5366312008,greenhouse,breakthroughproperties,5366312008
73,adjacent,senior_6_10,trading systems infrastructure; systems not research,Senior Software Engineer - Trading Development,webbtraders.nl,"Amsterdam, Netherlands",IT,https://webbtraders.recruitee.com/o/senior-software-engineer-trading-development,recruitee,webbtraders,2426900
74,less_relevant,senior_6_10,portfolio tools software; quant-dev support role,"Senior Fullstack Engineer, Portfolio Tools Engineering",acadian-asset.com,"Boston, Massachusetts, United States",Investment Analytics & Data,https://www.acadian-asset.com/careers/open-positions?gh_jid=4697886006,greenhouse,acadianassetmanagementllc,4697886006
76,adjacent,unknown,portfolio management support; discretionary not quant,Solutions Analyst,wellington.com,"Boston, MA, United States",,https://wellington.wd5.myworkdayjobs.com/en-US/External/job/Boston-MA-United-States/Investment-Strategy-Analyst--Multi-Asset-Solutions_R92611-1,workday,wellington|wd5|External,/job/Boston-MA-United-States/Investment-Strategy-Analyst--Multi-Asset-Solutions_R92611-1
77,relevant,unknown,quant dev at automated trading firm,Quantitative Developer,quadraturecapital,"London, United Kingdom, Singapore",Full-time,https://job-boards.greenhouse.io/quadraturecapital/jobs/8048585,greenhouse,quadraturecapital,8048585
79,rejected,junior_0_2,treasury operations; not financial markets,"Associate, Treasury Operations",cambridgeassociates.com,London,,https://cambridgeassociates.wd5.myworkdayjobs.com/en-US/Cambridge_Associates/job/London/Associate--Treasury-Operations_JR0000379,workday,cambridgeassociates|wd5|Cambridge_Associates,/job/London/Associate--Treasury-Operations_JR0000379
80,relevant,new_grad,quant researcher at trading firm; new grad role,Quantitative Researcher – New Grad ,headlandstech.com,Amsterdam; Chicago; London; New York,Monetization,https://job-boards.greenhouse.io/headlandstechnologiesllc/jobs/4227566009,greenhouse,headlandstechnologiesllc,4227566009
81,less_relevant,unknown,platform infrastructure; supporting quant teams,Platform Engineer,systematica.com,London,,https://systematica.pinpointhq.com/en/postings/af67febb-488c-4a65-b8ef-aa707492f573,pinpoint,systematica,544389
82,rejected,senior_6_10,marketing agency; unrelated to finance,Senior Strategist,resolute.com,"Birmingham, Michigan, United States of America",,https://interpublic.wd5.myworkdayjobs.com/en-US/OMC/job/Birmingham-Michigan-United-States-of-America/Sr-Strategist-1_6722-AM,workday,interpublic|wd5|OMC,/job/Birmingham-Michigan-United-States-of-America/Sr-Strategist-1_6722-AM
83,relevant,unknown,algo research team; alpha research hedge fund,Quantitative Researcher,manhong.com.hk,Massachusetts,Trading,https://job-boards.eu.greenhouse.io/mangroup/jobs/4737145101,greenhouse,mangroup,4737145101
84,adjacent,senior_6_10,residential credit trader; discretionary not quant,Residential Credit Trader,pretium.com,"New York, New York",Residential Credit,https://job-boards.greenhouse.io/pretiumpartnersllc/jobs/8184355002,greenhouse,pretiumpartnersllc,8184355002
86,rejected,unknown,working student; student-only position,WORKING STUDENT TECHNICAL CLIENT SERVICES (f/m/d),360t.com,Frankfurt am Main,Trading Services,https://360t.jobs.personio.de/job/749895,personio,360t,749895
87,adjacent,unknown,compliance statistical modeling; not trading/investment,Quantitative Model Analyst 2,usbank.com,"Chicago, IL; Charlotte, NC; Columbus, OH; Minneapolis, MN",,https://usbank.wd1.myworkdayjobs.com/en-US/US_Bank_Careers/job/Chicago-IL/Quantitative-Model-Analyst-2_2026-0014257,workday,usbank|wd1|US_Bank_Careers,/job/Chicago-IL/Quantitative-Model-Analyst-2_2026-0014257
89,relevant,junior_0_2,xVA quant work; derivatives pricing adjustments,"Associate, Financial Resource Management (FRM) – xVA Structuring and Optimization",td.com,"New York, New York",,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/New-York-New-York/Associate--Financial-Resource-Management--FRM----xVA-Structuring-and-Optimization_R_1502454,workday,td|wd3|TD_Bank_Careers,/job/New-York-New-York/Associate--Financial-Resource-Management--FRM----xVA-Structuring-and-Optimization_R_1502454
90,rejected,junior_0_2,wealth management operations; not quant,Portfolio and Trading Associate,savvywealth.com,NYC Office,Operations,https://jobs.ashbyhq.com/savvy/694cb8df-f0ea-4ab5-9523-b6960551c727,ashby,savvy,694cb8df-f0ea-4ab5-9523-b6960551c727
93,adjacent,junior_0_2,corporate access coordinator; operations support,"Global Markets Solutions, Corporate Access Coordinator, NY",rothschildandco.com,New York,,https://rothschildandco.wd3.myworkdayjobs.com/en-US/RothschildAndCo_Lateral/job/New-York/Global-Markets-Solutions--Corporate-Access-Coordinator--NY_JR016293,workday,rothschildandco|wd3|RothschildAndCo_Lateral,/job/New-York/Global-Markets-Solutions--Corporate-Access-Coordinator--NY_JR016293
94,rejected,mid_3_5,restaurant management software; unrelated field,"Enterprise Implementation Consultant - WFM, Inventory, Back-Office",fourth.com,"Austin, United States",Professional Services,https://careers.fourth.com/jobs/7223385-enterprise-implementation-consultant-wfm-inventory-back-office,teamtailor,careers.fourth.com,c46c6169-7199-4545-9c18-2ed25215b9c5
95,adjacent,unknown,trading performance engineering; systems not research,Performance Engineer,akunacapital.com,"Chicago, IL",Perf Eng,https://www.akunacapital.com/careers/job/7496414/?gh_jid=7496414,greenhouse,akunacapital,7496414
96,rejected,senior_6_10,fund accounting controller; not quant,CONTROLLER - FUND ACCOUNTING,pathwaycapital.com,"Irvine, CA, Irvine, CA, US",,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=f9df0183-e5ad-43ac-a487-f056102d06b4&jobId=9202710668196_1,adp,f9df0183-e5ad-43ac-a487-f056102d06b4,9202710668196_1
97,rejected,junior_0_2,real estate loan servicing; not financial,Default Specialist,arixacapital.com,Los Angeles,Asset Management,https://www.arixacapital.com/careers/open-roles?gh_jid=5361754008,greenhouse,arixacapital,5361754008
99,rejected,senior_6_10,affiliate marketing data science; not financial,"Sr. Data Scientist, Programmatic Algorithms",impact.com,"Seattle, WA",Product,https://job-boards.greenhouse.io/impact/jobs/8525233002,greenhouse,impact,8525233002
100,adjacent,unknown,ultra-low latency C++ systems; systems not research,C++ Software Engineer,wolve.com,"Chicago, IL",,https://careers.wolve.com/en/postings/856f5215-88c8-4c1b-bd47-5106b33ed37f,pinpoint,wolve,446898
101,rejected,junior_0_2,client support specialist; operations role,Client Support Specialist- Trading & Cost Basis,orion.com,Greater Omaha Area; Greater Philadelphia Area; Lehi,,https://orionadvisor.wd1.myworkdayjobs.com/en-US/Orion_Careers/job/Greater-Omaha-Area/Client-Support-Specialist--Cost-Basis_R2833-1,workday,orionadvisor|wd1|Orion_Careers,/job/Greater-Omaha-Area/Client-Support-Specialist--Cost-Basis_R2833-1
102,adjacent,junior_0_2,investment banking advisory; not quant,Associate - Strategic Advisory (Capital Markets - ECM),pjtpartners.com,London,,https://pjtpartners.wd1.myworkdayjobs.com/en-US/Careers/job/London/Associate---Strategic-Advisory--Capital-Markets-_R0003382,workday,pjtpartners|wd1|Careers,/job/London/Associate---Strategic-Advisory--Capital-Markets-_R0003382
105,rejected,senior_6_10,treasury management sales; not quant,Senior Treasury Management Sales Officer,wintrustwealth.com,"Grand Rapids, MI",,https://wintrust.wd1.myworkdayjobs.com/en-US/Search/job/Grand-Rapids-MI/Senior-Treasury-Management-Sales-Officer--Commercial_261256,workday,wintrust|wd1|Search,/job/Grand-Rapids-MI/Senior-Treasury-Management-Sales-Officer--Commercial_261256
106,rejected,junior_0_2,product specialist; not quant work,Product Specialist Solutions - Associate ,icapitalnetwork.com,"Salt Lake City, Utah, United States",Compliance Solutions,https://job-boards.greenhouse.io/icapitalnetwork/jobs/8604556002,greenhouse,icapitalnetwork,8604556002
109,less_relevant,unknown,data platform for equities; infrastructure role,Data & AI Engineer – Equities Technology,williamblair.com,"Chicago, Illinois, United States",817 IT Dedicated Capital Markets,https://www.williamblair.com/Careers/job-description?gh_jid=5102983007,greenhouse,williamblair,5102983007
110,relevant,unknown,quant researcher at AI-driven investment manager,Quantitative Researcher ,xantium.com,"London, New York City, Salt Lake City",Quantitative Research,https://job-boards.greenhouse.io/xantium/jobs/4178738009,greenhouse,xantium,4178738009
112,rejected,senior_6_10,payments fintech; not financial markets,"Senior Software Engineer, Global Treasury Payment Network",airwallex.com,SG - Singapore,Engineering,https://jobs.ashbyhq.com/airwallex/5c8e057a-9089-45f4-a8b2-4bf2fc05cbce,ashby,airwallex,5c8e057a-9089-45f4-a8b2-4bf2fc05cbce
113,rejected,new_grad,real estate analyst program; not markets,2027 Bain Capital Real Estate Analyst,baincapitallifesciences.com,Boston,,https://baincapital.wd1.myworkdayjobs.com/en-US/External_Public/job/Boston/XMLNAME-2027-Bain-Capital-Real-Estate-Analyst_REQ_108273,workday,baincapital|wd1|External_Public,/job/Boston/XMLNAME-2027-Bain-Capital-Real-Estate-Analyst_REQ_108273
114,rejected,senior_6_10,crypto compliance engineering; crypto out of scope,Senior Software Engineer - AI Enablement Compliance,payward.com,United States,Engineering,https://jobs.ashbyhq.com/kraken.com/0be714ef-6101-4a58-b837-1c06b317bcfe,ashby,kraken.com,0be714ef-6101-4a58-b837-1c06b317bcfe
115,rejected,new_grad,equity research internship; student-only,Internship – Equity Research,paretosec.com,"Frankfurt, Frankfurt am Main, Germany",,https://paretosecurities.teamtailor.com/jobs/8197132-internship-equity-research,teamtailor,paretosecurities,a288fdb0-a618-4070-b69c-9b1f9ab9e9cd
116,relevant,mid_3_5,low latency quant researcher; 3+ years required,Low Latency Quantitative Researcher,tudor.com,"New York City, London, Singapore",Macro Pipeline,https://job-boards.greenhouse.io/tudorgroup/jobs/5358163,greenhouse,tudorgroup,5358163
117,rejected,junior_0_2,post-trade securities operations; not quant,Post-Trade Officer till Securities Brokerage Operations,nordnetab.com,"Stockholm, Sweden",Securities Brokerage,https://career.nordnetab.com/jobs/8167193-post-trade-officer-till-securities-brokerage-operations,teamtailor,career.nordnetab.com,8a00fe6d-dcf7-4f54-87b9-f5830407a5d8
120,adjacent,senior_6_10,trading platform Java engineering; systems not research,Front Office Software Engineer,cmcmarkets.com,London,,https://cmcmarkets.wd3.myworkdayjobs.com/en-US/CMC_Markets_Careers/job/London/Front-Office-Software-Engineer_CMC5628,workday,cmcmarkets|wd3|CMC_Markets_Careers,/job/London/Front-Office-Software-Engineer_CMC5628
121,rejected,new_grad,quant researcher internship; student-only position,Quantitative Researcher Internship - 2027 [New York],quantbot.com,New York,Internships,https://www.quantbot.com/careers/4299496009?gh_jid=4299496009,greenhouse,quantbot-technologies,4299496009
122,rejected,junior_0_2,securities transfer operations; not quant,Securities Transfer Specialist (80-100%) (12-month contract),lombardodier.com,Geneva,,https://lombardodier.wd3.myworkdayjobs.com/en-US/Lombard_Odier_Careers/job/Geneva/Securities-Transfer-Specialist--80-100----12-month-contract-_R0007204,workday,lombardodier|wd3|Lombard_Odier_Careers,/job/Geneva/Securities-Transfer-Specialist--80-100----12-month-contract-_R0007204
124,adjacent,mid_3_5,volatility trader; trading not research,Experienced Trader,davinciderivatives.com,"Amsterdam, North Holland, Netherlands",Trading,https://job-boards.eu.greenhouse.io/davinciderivatives/jobs/4050868101,greenhouse,davinciderivatives,4050868101
125,less_relevant,senior_6_10,strategy platform engineering; staff-level infrastructure,"Staff Software Engineer, Strategy Platform",voleon.com,"Berkeley, CA",Software,https://jobs.ashbyhq.com/voleon/296da785-bbbe-4a44-b58e-e55419c3eeea,ashby,voleon,296da785-bbbe-4a44-b58e-e55419c3eeea
126,adjacent,mid_3_5,corporate treasury at auto finance firm,Treasury Funding and Liquidity Sr. Analyst,toyotafinancial.com,"Plano, Texas",,https://toyota.wd503.myworkdayjobs.com/en-US/TMNA/job/Plano-Texas/Treasury-Funding-and-Liquidity-Sr-Analyst_10331135,workday,toyota|wd503|TMNA,/job/Plano-Texas/Treasury-Funding-and-Liquidity-Sr-Analyst_10331135
127,rejected,mid_3_5,autonomous vehicle metrics; not financial markets,Senior Data Scientist - Metrics,mavenventures.com,"Ann Arbor, MI",Autonomy Engineering,https://job-boards.greenhouse.io/maymobility/jobs/8318003002,greenhouse,maymobility,8318003002
129,less_relevant,new_grad,infrastructure engineering at quant fund; not research,Software Engineer Intern (AI Internal Tools) ,gardacp.com,"Geneva, Geneva, Switzerland; Zug, Zug, Switzerland",Research & Technology (Internship),https://job-boards.greenhouse.io/gardacp/jobs/6146408004,greenhouse,gardacp,6146408004
130,adjacent,unknown,ABS trading ops at investment manager; no description,Asset-Backed Securities Analyst/Trader,americancentury.com,"New York, New York",,https://americancentury.wd5.myworkdayjobs.com/en-US/AmericanCenturyInvestments/job/New-York-New-York/Asset-Backed-Securities-Analyst-Trader_R0005652,workday,americancentury|wd5|AmericanCenturyInvestments,/job/New-York-New-York/Asset-Backed-Securities-Analyst-Trader_R0005652
131,adjacent,unknown,middle office operations at commodities firm,Middle Office Associate (Operations) (VN2820),marex.com,"Chicago, United States",Operations,https://marex.breezy.hr/p/0188a1e8927001-middle-office-associate-operations-vn2820,breezy,marex,0188a1e8927001
133,adjacent,junior_0_2,corporate treasury; not markets trading,"Consultant I, Treasury (Hybrid)",trustage.com,"Madison, WI",,https://trustage.wd1.myworkdayjobs.com/en-US/TruStage/job/Madison-WI/Consultant-I--Treasury--Hybrid-_R-012092,workday,trustage|wd1|TruStage,/job/Madison-WI/Consultant-I--Treasury--Hybrid-_R-012092
134,relevant,junior_0_2,quantitative portfolio analysis at $28B alternatives fund,Portfolio Management Analyst/Associate,apollo.com,"El Segundo, California",,https://athene.wd5.myworkdayjobs.com/en-US/Apollo_Careers/job/El-Segundo-California/Portfolio-Management-Associate_R253019,workday,athene|wd5|Apollo_Careers,/job/El-Segundo-California/Portfolio-Management-Associate_R253019
136,rejected,senior_6_10,autonomous vehicle systems engineering,Senior Autonomy Release Engineer II,mavenventures.com,"Ann Arbor, MI",Autonomy Engineering,https://job-boards.greenhouse.io/maymobility/jobs/8465980002,greenhouse,maymobility,8465980002
137,adjacent,mid_3_5,investor services and cash flow ops at systematic fund,"Associate II, Cash Flow & Investor Services",acadian-asset.com,"Boston, Massachusetts, United States",Cash Flow & Investor Services,https://www.acadian-asset.com/careers/open-positions?gh_jid=4690334006,greenhouse,acadianassetmanagementllc,4690334006
